farm_id,crop_type,fertilizer_usage_kg_per_ha,fuel_consumption_liters_per_ha,water_consumption_m3_per_ha,electricity_consumption_kwh_per_ha,fertilizer_emissions_kg_co2e,fuel_emissions_kg_co2e,electricity_emissions_kg_co2e,irrigation_energy_emissions_kg_co2e,carbon_footprint_kg_co2e_per_ha
FARM-00001,Wheat,131.52,55.44,4325.95,252.75,475.7829942857144,148.57920000000001,126.375,324.44624999999996,1075.1834442857144
FARM-00002,Soybean,48.85,51.78,3467.51,198.06,176.7183642857143,138.77040000000002,99.03,260.06325,674.5820142857142
FARM-00003,Rice,149.66,74.61,9303.16,522.52,541.4057399999999,199.9548,261.26,697.737,1700.35754
FARM-00004,Maize,191.18,79.46,5105.3,409.66,691.6073057142858,212.9528,204.83,382.8975,1492.2876057142857
FARM-00005,Cotton,149.18,74.62,7164.48,439.8,539.6693057142859,199.98160000000001,219.9,537.3359999999999,1496.8869057142858
FARM-00006,Wheat,130.05,50.78,3521.67,166.08,470.4651642857143,136.09040000000002,83.04,264.12525,953.7208142857144
FARM-00007,Rice,152.54,90.9,10125.49,418.83,551.8243457142858,243.61200000000002,209.415,759.41175,1764.2630957142858
FARM-00008,Rice,142.5,86.11,8649.97,572.17,515.5039285714286,230.7748,286.085,648.7477499999999,1681.1114785714285
FARM-00009,Wheat,137.13,49.06,4176.02,163.66,496.07757,131.48080000000002,81.83,313.2015,1022.58987
FARM-00010,Rice,151.08,80.06,10693.55,456.62,546.5426914285715,214.56080000000003,228.31,802.0162499999999,1791.4297414285713
FARM-00011,Cotton,171.4,70.08,7235.12,372.31,620.0517428571429,187.8144,186.155,542.634,1536.655142857143
FARM-00012,Maize,175.63,53.29,5104.96,299.45,635.3540700000001,142.8172,149.725,382.872,1310.76827
FARM-00013,Rice,125.46,54.68,,306.9,453.8605114285714,146.54240000000001,153.45,,
FARM-00014,Rice,156.23,101.17,8691.81,,565.1731842857142,271.1356,,651.8857499999999,
FARM-00015,Soybean,53.44,60.76,3699.52,250.99,193.32301714285717,162.8368,125.495,277.464,759.1188171428571
FARM-00016,Maize,198.67,76.31,5485.86,311.74,718.7029157142857,204.51080000000002,155.87,411.43949999999995,1490.5232157142857
FARM-00017,Maize,,60.8,5889.68,181.67,,162.944,90.835,441.726,
FARM-00018,Cotton,126.65,51.62,7051.97,287.96,458.16542142857145,138.3416,143.98,528.89775,1269.3847714285714
FARM-00019,Rice,170.41,72.58,10912.42,469.43,616.4703471428571,194.5144,234.715,818.4315,1864.1312471428573
FARM-00020,Rice,161.42,63.69,10079.46,316.56,583.94838,170.6892,158.28,755.9594999999999,1668.87708
FARM-00021,Rice,144.49,69.0,10568.9,404.64,522.7028957142858,184.92000000000002,202.32,792.6674999999999,1702.6103957142855
FARM-00022,Cotton,159.75,63.29,6220.27,438.6,577.9070357142857,169.6172,219.3,466.52025000000003,1433.3444857142858
FARM-00023,Soybean,35.67,69.03,4193.97,213.54,129.03877285714287,185.0004,106.77,314.54775,735.3569228571429
FARM-00024,Maize,173.69,81.71,4628.99,278.49,628.3359814285715,218.9828,139.245,347.17425,1333.7380314285715
FARM-00025,Cotton,162.1,78.63,7167.97,457.39,586.4083285714286,210.7284,228.695,537.59775,1563.4294785714287
FARM-00026,Sugarcane,222.23,82.16,17643.55,,803.9328985714287,220.18880000000001,,1323.26625,
FARM-00027,Wheat,105.87,52.2,3555.73,213.96,382.9922871428572,139.89600000000002,106.98,266.67975,896.5480371428573
FARM-00028,Cotton,162.03,61.22,7862.77,418.93,586.1550985714287,164.0696,209.465,589.70775,1549.3974485714289
FARM-00029,Soybean,44.8,50.78,4714.21,286.1,162.0672,136.09040000000002,143.05,353.56575,794.7733499999999
FARM-00030,Soybean,46.69,77.62,4572.02,317.19,168.90440999999998,208.02160000000003,158.595,342.9015,878.4225100000001
FARM-00031,Cotton,128.74,43.45,7995.64,288.21,465.72614571428574,116.44600000000001,144.105,599.673,1325.9501457142858
FARM-00032,Sugarcane,226.64,104.93,17006.26,616.16,819.8863885714286,281.21240000000006,308.08,1275.4695,2684.6482885714286
FARM-00033,Sugarcane,235.53,74.47,18043.12,474.19,852.0465985714286,199.5796,237.095,1353.234,2641.955198571429
FARM-00034,Wheat,115.8,54.36,4431.9,255.39,418.91477142857144,145.6848,127.695,332.3925,1024.6870714285712
FARM-00035,Maize,157.31,71.85,4957.99,312.46,569.0801614285715,192.558,156.23,371.84925,1289.7174114285715
FARM-00036,Rice,126.39,86.86,11582.43,510.96,457.2248528571429,232.78480000000002,255.48,868.68225,1814.1719028571429
FARM-00037,Soybean,148.67240992536293,58.22,3558.74,309.67,537.8330623628523,156.02960000000002,154.835,266.90549999999996,1115.6031623628523
FARM-00038,Maize,188.89,70.22,5031.17,308.73,683.3230671428571,188.1896,154.365,377.33774999999997,1403.2154171428572
FARM-00039,Cotton,152.69,41.54,6831.33,257.07,552.3669814285715,111.3272,128.535,512.34975,1304.5789314285714
FARM-00040,Maize,207.65,86.71,5246.62,301.48,751.1887071428573,232.3828,150.74,393.49649999999997,1527.8080071428574
FARM-00041,Maize,181.42,58.36,4956.13,298.6,656.2998085714286,156.4048,149.3,371.70975,1333.7143585714286
FARM-00042,Rice,154.51,94.7,9510.29,,558.9509614285714,253.79600000000002,,713.27175,
FARM-00043,Rice,154.33,68.9,11281.9,324.66,558.2997985714287,184.65200000000002,162.33,846.1424999999999,1751.4242985714286
FARM-00044,Soybean,46.02,85.5,4335.36,320.76,166.48063714285718,229.14000000000001,160.38,325.152,881.1526371428572
