farm_id,crop_type,fertilizer_usage_kg_per_ha,fuel_consumption_liters_per_ha,water_consumption_m3_per_ha,electricity_consumption_kwh_per_ha
FARM-00001,Wheat,131.52,55.44,4325.95,252.75
FARM-00002,Soybean,48.85,51.78,3467.51,198.06
FARM-00003,Rice,149.66,74.61,9303.16,522.52
FARM-00004,Maize,191.18,79.46,5105.3,409.66
FARM-00005,Cotton,149.18,74.62,7164.48,439.8
FARM-00006,Wheat,130.05,50.78,3521.67,166.08
FARM-00007,Rice,152.54,90.9,10125.49,418.83
FARM-00008,Rice,142.5,86.11,8649.97,572.17
FARM-00009,Wheat,137.13,49.06,4176.02,163.66
FARM-00010,Rice,151.08,80.06,10693.55,456.62
FARM-00011,Cotton,171.4,70.08,7235.12,372.31
FARM-00012,Maize,175.63,53.29,5104.96,299.45
FARM-00013,Rice,125.46,54.68,,306.9
FARM-00014,Rice,156.23,101.17,8691.81,
FARM-00015,Soybean,53.44,60.76,3699.52,250.99
FARM-00016,Maize,198.67,76.31,5485.86,311.74
FARM-00017,Maize,,60.8,5889.68,181.67
FARM-00018,Cotton,126.65,51.62,7051.97,287.96
FARM-00019,Rice,170.41,72.58,10912.42,469.43
FARM-00020,Rice,161.42,63.69,10079.46,316.56
FARM-00021,Rice,144.49,69.0,10568.9,404.64
FARM-00022,Cotton,159.75,63.29,6220.27,438.6
FARM-00023,Soybean,35.67,69.03,4193.97,213.54
FARM-00024,Maize,173.69,81.71,4628.99,278.49
FARM-00025,Cotton,162.1,78.63,7167.97,457.39
FARM-00026,Sugarcane,222.23,82.16,17643.55,
FARM-00027,Wheat,105.87,52.2,3555.73,213.96
FARM-00028,Cotton,162.03,61.22,7862.77,418.93
FARM-00029,Soybean,44.8,50.78,4714.21,286.1
FARM-00030,Soybean,46.69,77.62,4572.02,317.19
FARM-00031,Cotton,128.74,43.45,7995.64,288.21
FARM-00032,Sugarcane,226.64,104.93,17006.26,616.16
FARM-00033,Sugarcane,235.53,74.47,18043.12,474.19
FARM-00034,Wheat,115.8,54.36,4431.9,255.39
FARM-00035,Maize,157.31,71.85,4957.99,312.46
